Timestamp,Gaze X,Gaze Y,Pitch,Yaw,Roll,Face Position
2024-12-08 21:28:07,790.2018080817328,704.3425736427307,45.0,-77.91674708812353,0,Neutral
2024-12-08 21:28:07,792.1517783270941,704.2199158668517,45.0,-78.53687384808315,0,Neutral
2024-12-08 21:28:07,792.1745079888237,704.0638060569764,45.0,-77.85610618335282,0,Neutral
2024-12-08 21:28:08,792.2242249382867,704.0591974258422,45.0,-77.92227171924806,0,Neutral
2024-12-08 21:28:08,792.4416245354547,704.314893245697,45.0,-77.81613044452826,0,Neutral
2024-12-08 21:28:08,792.59095509847,704.3327131271362,45.0,-78.44861631606356,0,Neutral
2024-12-08 21:28:33,812.8006528218585,699.4025287628174,45.0,-81.4299241399148,0,Neutral
2024-12-08 21:28:33,813.0028919643826,701.6409521102906,45.0,-81.89475570460883,0,Neutral
2024-12-08 21:28:33,813.6613354153104,701.2786870002747,45.0,-83.00761953640635,0,Neutral
2024-12-08 21:28:34,814.2422146267361,700.9074635505676,45.0,-82.38974912469295,0,Neutral
2024-12-08 21:28:34,815.2063535054524,700.7780871391296,45.0,-82.47628253325944,0,Neutral
2024-12-08 21:28:34,815.0163837009006,700.7707557678223,45.0,-81.72512076060919,0,Neutral
2024-12-08 21:28:34,814.938244289822,700.7759852409363,45.0,-81.63077434431648,0,Neutral
2024-12-08 21:28:34,815.2871131896973,700.6257829666138,45.0,-82.39681285006542,0,Neutral
2024-12-08 21:28:34,815.1624348958334,700.6014890670776,45.0,-82.37414298775282,0,Neutral
2024-12-08 21:28:34,815.1450674268934,700.6611514091492,45.0,-81.57429941100557,0,Neutral
2024-12-08 21:28:34,815.7033661736383,700.6211037635803,45.0,-82.11605241141442,0,Neutral
2024-12-08 21:28:34,815.5894677903916,700.6669054031372,45.0,-82.26612591684867,0,Neutral
2024-12-08 21:28:34,818.5450380113389,701.2971034049988,45.0,-82.91697091549442,0,Neutral
2024-12-08 21:28:34,821.1957295735679,701.6168537139893,45.0,-83.67167888490691,0,Neutral
2024-12-08 21:28:34,821.7459653218586,701.4784502983094,45.0,-83.59579468632415,0,Neutral
2024-12-08 21:28:34,829.8827412923177,702.8161492347717,45.0,-86.98154047707251,0,Neutral
2024-12-08 21:28:35,845.3975461324056,704.246524333954,45.0,-91.37186005843566,0,Neutral
2024-12-08 21:28:35,893.5457539028591,713.5767760276796,45.0,-103.59722554786671,0,Neutral
2024-12-08 21:28:35,893.7488369411892,713.3600091934204,45.0,-103.79681796805897,0,Neutral
2024-12-08 21:28:35,899.7430538601346,715.5830097198485,45.0,-106.5817878473687,0,Neutral
2024-12-08 21:28:35,888.6402837965223,712.8683753013611,45.0,-105.20526867574064,0,Neutral
2024-12-08 21:28:35,888.8280097113716,713.0412516593934,45.0,-105.44797243155676,0,Neutral
2024-12-08 21:28:35,841.5984573364259,707.0601143836975,45.0,-101.5561538004643,0,Neutral
2024-12-08 21:28:35,784.326338450114,709.9372096061705,45.0,-93.73957956214693,0,Neutral
2024-12-08 21:28:36,780.2630191379122,710.5686073303223,45.0,-90.26800110006698,0,Neutral
2024-12-08 21:28:36,779.5286441379122,710.5717496871948,45.0,-89.94351520526068,0,Neutral
2024-12-08 21:28:36,779.4421208699544,709.9938035011292,45.0,-85.2968362584333,0,Neutral
2024-12-08 21:28:36,780.90423795912,710.401508808136,45.0,-83.89204346590265,0,Neutral
2024-12-08 21:28:36,784.1909298366971,708.7887625694275,45.0,-82.58857534998388,0,Neutral
2024-12-08 21:28:36,783.7344220479329,708.9404835700988,45.0,-82.39553030037588,0,Neutral
2024-12-08 21:28:36,790.5124702453613,705.5507426261902,45.0,-82.38029940349297,0,Neutral
2024-12-08 21:28:36,794.1920899285211,705.0861282348633,45.0,-82.68909903105985,0,Neutral
2024-12-08 21:28:36,794.3826772901747,704.7900099754332,45.0,-83.01757629038966,0,Neutral
2024-12-08 21:28:36,799.1816630893283,704.0364046096802,45.0,-82.29420624010747,0,Neutral
2024-12-08 21:28:36,801.8015547858345,703.4154448509216,45.0,-82.48680790402501,0,Neutral
2024-12-08 21:28:36,803.193255106608,702.9719071388245,45.0,-81.72246349863175,0,Neutral
2024-12-08 21:28:37,804.9161919487847,703.1183290481567,45.0,-80.94973505946601,0,Neutral
2024-12-08 21:28:37,805.0417404174805,703.0624074935913,45.0,-81.21513798324494,0,Neutral
2024-12-08 21:28:37,805.1776428222657,702.8496537208556,45.0,-80.7736690295938,0,Neutral
2024-12-08 21:28:37,802.5504171583386,703.0071334838867,45.0,-80.38117812468592,0,Neutral
2024-12-08 21:28:37,802.8739717271592,703.0057125091553,45.0,-80.44041801846795,0,Neutral
2024-12-08 21:28:37,796.8552814059788,701.9818458557128,45.0,-78.21024537565215,0,Neutral
2024-12-08 21:28:37,797.2922007242839,701.9755096435546,45.0,-78.75880574704021,0,Neutral
2024-12-08 21:28:37,798.291805267334,702.1975388526915,45.0,-79.40723086943008,0,Neutral
2024-12-08 21:28:37,798.2184838189019,702.2349667549133,45.0,-79.48612628557721,0,Neutral
2024-12-08 21:28:37,802.075981563992,702.497850894928,45.0,-80.10834711992375,0,Neutral
2024-12-08 21:28:37,805.8511928982205,702.8801903724672,45.0,-80.60732033836257,0,Neutral
2024-12-08 21:28:37,808.2340134514703,702.6032676696777,45.0,-81.06944973426464,0,Neutral
2024-12-08 21:28:38,808.8874626159668,702.3539428710938,45.0,-81.42239795190706,0,Neutral
2024-12-08 21:28:38,809.0658132765029,702.5222368240356,45.0,-81.28262193248482,0,Neutral
